社群名,微信群名,当前群主,消息日期,消息时间,发言人微信昵称,发言文本内容
正式学员群-数据分析,【老孟班】5.24数据分析入门试学,Francis,2018/5/24 0:00:00,15:08:10,Francis,@Mazzy 上海?[强][强][强]一点就会了
正式学员群-数据分析,【老孟班】5.24数据分析入门试学,Francis,2018/5/24 0:00:00,15:09:10,Mazzy,感谢老师亲力亲为，耐心指点[抱拳]
正式学员群-数据分析,【老孟班】5.24数据分析入门试学,Francis,2018/5/24 0:00:00,15:09:14,Francis,ios有左下角这个程序，简单的可以试试
正式学员群-数据分析,【老孟班】5.24数据分析入门试学,Francis,2018/5/24 0:00:00,15:09:18,Mazzy,好的??
正式学员群-数据分析,【老孟班】5.24数据分析入门试学,Francis,2018/5/24 0:00:00,15:13:02,Francis,打印的应该带引号。因为是字符。再看下我更新的@Mazzy 上海
正式学员群-数据分析,【老孟班】5.24数据分析入门试学,Francis,2018/5/24 0:00:00,15:19:20,Mazzy,@助教-老孟?好的，我试下~
正式学员群-数据分析,【老孟班】5.24数据分析入门试学,Francis,2018/5/24 0:00:00,15:30:05,Jester,11.我的问题好像有点简单[调皮][调皮]虽然还没看教程但是先抢答一下：字符串“15”和整形数15是不一样的，前者变量类型为Str，表示文本的15，不能进行算数运算，+运算符重载为合并字符串，*重载为复制字符串，可以使用.copy()之类的内生方法…整形数15为整形数，相当于就是整数15，可以进行算数运算的加减乘除乘方等运算
正式学员群-数据分析,【老孟班】5.24数据分析入门试学,Francis,2018/5/24 0:00:00,15:33:07,Udacity-Celia,棒极啦@Jester 老孟出题也是循序渐进来的[奸笑]第一天先会基础一点，助教会掌握每个同学的程度，往后就可以针对每个人不同的基础来出题啦
正式学员群-数据分析,【老孟班】5.24数据分析入门试学,Francis,2018/5/24 0:00:00,15:34:20,Jester,主要是大家的好像还挺难的
正式学员群-数据分析,【老孟班】5.24数据分析入门试学,Francis,2018/5/24 0:00:00,15:45:06,西米斯,3、%matplotlib inline命令的功能是内嵌绘图，可以将matplotlib的图表直接嵌入到Notebook之中，或者使用指定的界面库显示图表，它有一个参数指定matplotlib图表的显示方式。
正式学员群-数据分析,【老孟班】5.24数据分析入门试学,Francis,2018/5/24 0:00:00,16:32:15,Francis,@徐雯佳 海口?我分享的文件后面代码是周六才会讲，先忽略就好了[呲牙]
正式学员群-数据分析,【老孟班】5.24数据分析入门试学,Francis,2018/5/24 0:00:00,16:51:03,💍＇徐徐徐雯佳,??
正式学员群-数据分析,【老孟班】5.24数据分析入门试学,Francis,2018/5/24 0:00:00,17:11:54,登山看景,1、Python的import语句实现什么功能？python中的import语句是用来导入模块的，在python模块库中有着大量的模块可供使用，要想使用这些文件需要用import语句把指定模块导入到当前程序中。import语句作用就是用来导入模块的，它可以出现在程序中的任何位置。
正式学员群-数据分析,【老孟班】5.24数据分析入门试学,Francis,2018/5/24 0:00:00,17:40:22,鲍小栋Ben,"第四题
（1）df_inner.iloc[2]
（2）df_inner.ix[:'city'，:1]"
正式学员群-数据分析,【老孟班】5.24数据分析入门试学,Francis,2018/5/24 0:00:00,17:40:38,鲍小栋Ben,不太确定
正式学员群-数据分析,【老孟班】5.24数据分析入门试学,Francis,2018/5/24 0:00:00,17:49:48,Francis,teamb的这两位是咱们同学么？不是我t掉了[发呆]
正式学员群-数据分析,【老孟班】5.24数据分析入门试学,Francis,2018/5/24 0:00:00,17:57:09,Udacity-Celia,@秋然元悦 @助教-老孟 他就是王健[捂脸]
正式学员群-数据分析,【老孟班】5.24数据分析入门试学,Francis,2018/5/24 0:00:00,17:57:49,Udacity-Celia,@秋然元悦 你改下备注吧，不然助教大大把你对不上[流泪]就很容易把你漏了呜呜呜
正式学员群-数据分析,【老孟班】5.24数据分析入门试学,Francis,2018/5/24 0:00:00,17:58:37,chocolate,"10.pandas的read_csv模块作用是什么?
读取指定路径下的csv文件，将对应格式的文件进行数据提取，存入city_data中"
正式学员群-数据分析,【老孟班】5.24数据分析入门试学,Francis,2018/5/24 0:00:00,17:58:55,chocolate,Homo那个是我[嘿哈]@助教-老孟
正式学员群-数据分析,【老孟班】5.24数据分析入门试学,Francis,2018/5/24 0:00:00,17:59:35,秋然元悦,改了
正式学员群-数据分析,【老孟班】5.24数据分析入门试学,Francis,2018/5/24 0:00:00,18:02:22,Udacity-Celia,哈哈哈~~那就好。。幸亏助教大大手慢等了等你们@乔勇 广州 @王健 - 上海 [嘿哈]
正式学员群-数据分析,【老孟班】5.24数据分析入门试学,Francis,2018/5/24 0:00:00,18:03:12,Francis,可是还是多了一个人啊……我凌乱了
正式学员群-数据分析,【老孟班】5.24数据分析入门试学,Francis,2018/5/24 0:00:00,18:03:40,Udacity-Celia,先不管了哈哈哈，咱们童鞋们都在就行
正式学员群-数据分析,【老孟班】5.24数据分析入门试学,Francis,2018/5/24 0:00:00,18:04:10,QT Chiu,24k纯小白想问个问题
正式学员群-数据分析,【老孟班】5.24数据分析入门试学,Francis,2018/5/24 0:00:00,18:04:41,QT Chiu,这图上的一堆数据看不懂怎么办??
正式学员群-数据分析,【老孟班】5.24数据分析入门试学,Francis,2018/5/24 0:00:00,18:07:56,秋然元悦,分位、平均值、最大最小值
正式学员群-数据分析,【老孟班】5.24数据分析入门试学,Francis,2018/5/24 0:00:00,18:08:10,秋然元悦,标准方差
正式学员群-数据分析,【老孟班】5.24数据分析入门试学,Francis,2018/5/24 0:00:00,18:08:48,秋然元悦,下面是指的字段属性
正式学员群-数据分析,【老孟班】5.24数据分析入门试学,Francis,2018/5/24 0:00:00,18:12:04,QT Chiu,谢谢啊，但还是不懂??
正式学员群-数据分析,【老孟班】5.24数据分析入门试学,Francis,2018/5/24 0:00:00,18:13:53,Jester,我也改了，把名字和id都留着方便对应[调皮]
正式学员群-数据分析,【老孟班】5.24数据分析入门试学,Francis,2018/5/24 0:00:00,18:13:58,秋然元悦,图的上半部，横向是各字段名，纵向是这个字段内所有值的分位、平均值、最大最小值、标准方差值
正式学员群-数据分析,【老孟班】5.24数据分析入门试学,Francis,2018/5/24 0:00:00,18:14:57,秋然元悦,count是这字段里的值的数量，很明显，全量是10086个值，小于这个数量的代表值有缺失
正式学员群-数据分析,【老孟班】5.24数据分析入门试学,Francis,2018/5/24 0:00:00,18:20:22,秋然元悦,non-null指不能为空值，int 64指实数，比如0，1，2，3等整实数，float指浮点数，可以带小数点
正式学员群-数据分析,【老孟班】5.24数据分析入门试学,Francis,2018/5/24 0:00:00,18:22:46,Francis,@王健 - 上海?讲的非常清楚。[强]
正式学员群-数据分析,【老孟班】5.24数据分析入门试学,Francis,2018/5/24 0:00:00,18:23:07,💍＇徐徐徐雯佳,[强][强][强]我也明白了
正式学员群-数据分析,【老孟班】5.24数据分析入门试学,Francis,2018/5/24 0:00:00,18:23:17,Francis,看了明天的课以后，就好理解些了，先不要急@仇倩婷 上海
正式学员群-数据分析,【老孟班】5.24数据分析入门试学,Francis,2018/5/24 0:00:00,18:24:38,QT Chiu,没有急啦，就是做练习的时候一脸懵就来问问看[捂脸]
正式学员群-数据分析,【老孟班】5.24数据分析入门试学,Francis,2018/5/24 0:00:00,18:26:35,QT Chiu,谢谢你@王健 - 上海
正式学员群-数据分析,【老孟班】5.24数据分析入门试学,Francis,2018/5/24 0:00:00,18:27:46,秋然元悦,@仇倩婷 上海 不客气，我看到有同学问所以回复下，还好没说错 [偷笑]
正式学员群-数据分析,【老孟班】5.24数据分析入门试学,Francis,2018/5/24 0:00:00,18:31:22,秋然元悦,再多说一句，这张表其实是介绍表的数据质量，分析师在分析之前，必须要清楚每张表的质量如何，数据是有陷阱的，分析师需要学会处理异常值
正式学员群-数据分析,【老孟班】5.24数据分析入门试学,Francis,2018/5/24 0:00:00,18:33:39,Francis,就是说，在分析之前要看下咱们的数据是不是够好够漂亮
正式学员群-数据分析,【老孟班】5.24数据分析入门试学,Francis,2018/5/24 0:00:00,19:04:50,Pearl,"Q：为什么我们从Python开始学习数据分析？
A：
（1）Python支持面向对象的编程，它逻辑简单、语法更贴近英语，代码简洁可读性高，容易入门，利于初学者学习；
（2）Python拥有强大易用的标准库， 在数据分析和交互、探索性计算以及数据可视化等方面都有非常成熟的库和工具，也有对应的非常活跃的社区。尤其是 Python 中的 Pandas 库在处理中型数据方面有着无与伦比的优势，正在成为各行业数据处理任务的首选库。
（3）Python 开放源代码，拥有强大的通用编程能力。 并且Python具备很强的动态性，不仅在数据分析方面能力强大，在爬虫、web、自动化运维甚至游戏等等很多领域都有广泛的应用。这就使公司使用一种技术完成全部服务成为可能，有利于各个技术组之间的业务融合。
（4）Python 是人工智能时代的通用语言。"
正式学员群-数据分析,【老孟班】5.24数据分析入门试学,Francis,2018/5/24 0:00:00,19:23:40,苏 南,我错过了什么
正式学员群-数据分析,【老孟班】5.24数据分析入门试学,Francis,2018/5/24 0:00:00,19:23:45,苏 南,几点上课 今天？
正式学员群-数据分析,【老孟班】5.24数据分析入门试学,Francis,2018/5/24 0:00:00,19:24:09,苏 南,@助教-老孟
正式学员群-数据分析,【老孟班】5.24数据分析入门试学,Francis,2018/5/24 0:00:00,19:37:40,登山看景,不上也说句话哟。
正式学员群-数据分析,【老孟班】5.24数据分析入门试学,Francis,2018/5/24 0:00:00,19:38:15,苏 南,刚看手机。今天一天错过了什么
正式学员群-数据分析,【老孟班】5.24数据分析入门试学,Francis,2018/5/24 0:00:00,19:38:56,登山看景,什么都没？难道今天课已经上了吗？
正式学员群-数据分析,【老孟班】5.24数据分析入门试学,Francis,2018/5/24 0:00:00,19:45:20,Francis,今天没有课啊
正式学员群-数据分析,【老孟班】5.24数据分析入门试学,Francis,2018/5/24 0:00:00,19:45:59,Francis,大家前3部分有问题的话，留言。我10点回归电脑。
正式学员群-数据分析,【老孟班】5.24数据分析入门试学,Francis,2018/5/24 0:00:00,19:46:06,Jester,课程内容在优达官网啊
正式学员群-数据分析,【老孟班】5.24数据分析入门试学,Francis,2018/5/24 0:00:00,19:46:17,Francis,再上课是周六??和我的视频是周六
正式学员群-数据分析,【老孟班】5.24数据分析入门试学,Francis,2018/5/24 0:00:00,20:26:47,💍＇徐徐徐雯佳,小白的我一头雾水
正式学员群-数据分析,【老孟班】5.24数据分析入门试学,Francis,2018/5/24 0:00:00,20:37:50,Udacity-思远,"开车安全重要，
先别回消息啦[愉快]"
正式学员群-数据分析,【老孟班】5.24数据分析入门试学,Francis,2018/5/24 0:00:00,20:46:44,刘畅Sunny,"5.【数据异常通常是指哪几种情况？】异常值outlier：指样本中的个别值，其数值明显偏离它（或他们）所属样本的其余观测值,也称异常数据，离群值。常见的情况有：a. 由于外界干扰、人为误差等原因造成实测数据值偏离正常结果 b. 实际情况与业务逻辑紧密联系，例如在信用卡欺诈侦测案例中，异常数据对象恰是目标勘测对象 c. 选取分析方法不当，或数据模型不够完善，正常值“无辜背锅”（待补充…）"
正式学员群-数据分析,【老孟班】5.24数据分析入门试学,Francis,2018/5/24 0:00:00,21:31:40,chocolate,请问uda的课程购买后是可以永久访问的吗[嘿哈]
正式学员群-数据分析,【老孟班】5.24数据分析入门试学,Francis,2018/5/24 0:00:00,21:47:30,Udacity-Celia,你的项目通过之后，你还是可以过来回看的呢@乔勇 广州
正式学员群-数据分析,【老孟班】5.24数据分析入门试学,Francis,2018/5/24 0:00:00,21:47:58,Udacity-Celia,https://classroom.udacity.com/me
正式学员群-数据分析,【老孟班】5.24数据分析入门试学,Francis,2018/5/24 0:00:00,21:48:34,Udacity-Celia,童鞋们，今天没有公开课。今天是教室开放啦，你可以登陆教室去学习啦[机智]链接奉上
正式学员群-数据分析,【老孟班】5.24数据分析入门试学,Francis,2018/5/24 0:00:00,21:49:07,Udacity-Celia,@周鹏深圳
正式学员群-数据分析,【老孟班】5.24数据分析入门试学,Francis,2018/5/24 0:00:00,21:50:11,Francis,到家了，5分钟后到达战场
正式学员群-数据分析,【老孟班】5.24数据分析入门试学,Francis,2018/5/24 0:00:00,21:50:58,Udacity-Celia,休息一下先
正式学员群-数据分析,【老孟班】5.24数据分析入门试学,Francis,2018/5/24 0:00:00,21:55:56,Francis,上线上线，今天大家学的怎么样。我先发每日一题的答案。大家先看着，之后挨个解决问题，不达到目标，不准你们睡觉[悠闲]
正式学员群-数据分析,【老孟班】5.24数据分析入门试学,Francis,2018/5/24 0:00:00,22:00:34,Udacity-Celia,繁春大大厉害
正式学员群-数据分析,【老孟班】5.24数据分析入门试学,Francis,2018/5/24 0:00:00,22:00:58,Udacity-Celia,大家赶紧出来看看今天的习题哦，看看有木有做对呀[奸笑]
正式学员群-数据分析,【老孟班】5.24数据分析入门试学,Francis,2018/5/24 0:00:00,22:01:49,Jester,话说这些内容是网络课的所有内容吗？现在才开始看，看来第一天信息量挺大[流汗]
正式学员群-数据分析,【老孟班】5.24数据分析入门试学,Francis,2018/5/24 0:00:00,22:03:40,Udacity-Celia,关于每日一题的一些解释：?1. 每日一题会对每位同学都当天出专属的一个问题，学员需要在当天0点以前在群里面梳理出答案，不要求详细具体，但至少要能把问题讲清楚?2. 在群里回答的时候记得要带上问题，以横线隔开，方便其他同学参考你的答案?3. 助教会在第二天将昨天的问题和同学们的答案汇总起来再分享出来?[嘿哈]
正式学员群-数据分析,【老孟班】5.24数据分析入门试学,Francis,2018/5/24 0:00:00,22:04:36,Udacity-Celia,@戴逸骅 Jester?不是，这个是每日一题。助教为每个人准备了一个专属的小题目。都是我们完成项目需要用到的知识点，每人只有一个啦[奸笑]
正式学员群-数据分析,【老孟班】5.24数据分析入门试学,Francis,2018/5/24 0:00:00,22:05:00,Jester,明白了，谢谢[呲牙]
正式学员群-数据分析,【老孟班】5.24数据分析入门试学,Francis,2018/5/24 0:00:00,22:05:16,Udacity-Celia,但是每人回答一道，咱们全部会有17道[机智]
正式学员群-数据分析,【老孟班】5.24数据分析入门试学,Francis,2018/5/24 0:00:00,22:05:32,Udacity-Celia,解答一道题，学会17道[害羞]
正式学员群-数据分析,【老孟班】5.24数据分析入门试学,Francis,2018/5/24 0:00:00,22:07:37,Francis,@徐雯佳 海口 在么？咱们先讲import这个
正式学员群-数据分析,【老孟班】5.24数据分析入门试学,Francis,2018/5/24 0:00:00,22:08:31,Jester,"问题11：Python中的字符串""15""和整数型的15有什么区别吗？\n
Jester回答：字符串“15”和整形数15是不一样的，前者变量类型为Str，表示文本的15，不能进行算数运算，+运算符重载为合并字符串，*重载为复制字符串，可以使用.copy()之类的内生方法…整形数15为整形数，相当于就是整数15，可以进行算数运算的加减乘除乘方等运算"
正式学员群-数据分析,【老孟班】5.24数据分析入门试学,Francis,2018/5/24 0:00:00,22:08:51,甲乙,9 - NaN，是Not a Number的缩写，表示一些特殊数值（无穷与非数值（NaN））。
正式学员群-数据分析,【老孟班】5.24数据分析入门试学,Francis,2018/5/24 0:00:00,22:14:44,Francis,@戴逸骅 Jester [强]解答的非常好，实际上python对于数据类型是非常宽松的，直接赋值就可以了。比如说 m = ‘Uda’ 那么现在m就是字符型的。如果 m = 0，那么现在m就是整数型的。需要注意的就是一般来很多操作都要保证是同一类型的才能操作。不过这个不用细究，正式课里会有比较详细的解释。
正式学员群-数据分析,【老孟班】5.24数据分析入门试学,Francis,2018/5/24 0:00:00,22:16:36,Jester,之前接触过JAVA，又学Python，刚开始还是会习惯性的开头name =''，number=0，list=[]，后来发现不用简直惊呆了[奸笑]
正式学员群-数据分析,【老孟班】5.24数据分析入门试学,Francis,2018/5/24 0:00:00,22:17:27,Francis,哈哈，人生苦短，我用Python[机智]
正式学员群-数据分析,【老孟班】5.24数据分析入门试学,Francis,2018/5/24 0:00:00,22:17:53,Francis,大家这几部分都看完了没，有问题要问哦！
正式学员群-数据分析,【老孟班】5.24数据分析入门试学,Francis,2018/5/24 0:00:00,22:19:57,Francis,@所有人 大家这几部分都看完了没，有问题要问哦！
正式学员群-数据分析,【老孟班】5.24数据分析入门试学,Francis,2018/5/24 0:00:00,22:20:32,Mazzy,还有最后两个章节
正式学员群-数据分析,【老孟班】5.24数据分析入门试学,Francis,2018/5/24 0:00:00,22:20:39,QT Chiu,啊不是说前三节吗……我字符那个还没看完
正式学员群-数据分析,【老孟班】5.24数据分析入门试学,Francis,2018/5/24 0:00:00,22:22:25,Mazzy,@助教-老孟?老师，这道题不能完全理解
正式学员群-数据分析,【老孟班】5.24数据分析入门试学,Francis,2018/5/24 0:00:00,22:22:36,Francis,"明天的任务是：
1、 完成函数和标准库
2、 看项目文件，并且准备写项目。回答项目前面的问题。
3、 循环那里如果进度合适可以看下，项目中基本没用上，就是调用就可以了。看的费劲的话可以跳过。"
正式学员群-数据分析,【老孟班】5.24数据分析入门试学,Francis,2018/5/24 0:00:00,22:23:18,Francis,[奸笑]你的答案也要放上来，咱们一起讨论下
正式学员群-数据分析,【老孟班】5.24数据分析入门试学,Francis,2018/5/24 0:00:00,22:25:16,Francis,@仇倩婷 上海 我看大家都很努力，又给加的[嘿哈]这样明天就可以简单讲讲项目。周六大家能做，晚上讲收获多一点。也可以明天一起看，那节还好。
正式学员群-数据分析,【老孟班】5.24数据分析入门试学,Francis,2018/5/24 0:00:00,22:25:40,Francis,老师看到努力的学生们，总是按捺不住提高要求的[悠闲]
正式学员群-数据分析,【老孟班】5.24数据分析入门试学,Francis,2018/5/24 0:00:00,22:26:41,QT Chiu,??
正式学员群-数据分析,【老孟班】5.24数据分析入门试学,Francis,2018/5/24 0:00:00,22:28:03,Francis,我来了，咱们先说第二个选项。你能解释下中位数是什么么？@Mazzy 上海
正式学员群-数据分析,【老孟班】5.24数据分析入门试学,Francis,2018/5/24 0:00:00,22:28:21,Mazzy,倍感压力啊[发呆]
正式学员群-数据分析,【老孟班】5.24数据分析入门试学,Francis,2018/5/24 0:00:00,22:28:24,Mazzy,中位数将我们的数据分为两部分，一半低于它，一半高于它。我们在此视频中发现，如何计算中位数取决于我们有偶数个还是奇数个观察值。
正式学员群-数据分析,【老孟班】5.24数据分析入门试学,Francis,2018/5/24 0:00:00,22:29:05,Mazzy,中位数是中间两个值的平均值。例如，如果我们有 8 个观察值并从小到大排列，则计算第四和第五个值的平均值。
正式学员群-数据分析,【老孟班】5.24数据分析入门试学,Francis,2018/5/24 0:00:00,22:29:46,Francis,第一个描述是对的。第二个，在有的情况下是对的。我来说一下。
正式学员群-数据分析,【老孟班】5.24数据分析入门试学,Francis,2018/5/24 0:00:00,22:30:06,Mazzy,好[抱拳]
正式学员群-数据分析,【老孟班】5.24数据分析入门试学,Francis,2018/5/24 0:00:00,22:31:27,Francis,中位数就是小朋友从矮到高排序，中间站那个就是中位数。最矮的是换成小恶魔，最高的换成姚明，都不影响这个排序。
正式学员群-数据分析,【老孟班】5.24数据分析入门试学,Francis,2018/5/24 0:00:00,22:31:54,Francis,所以说中位数对于异常值是十分不敏感的，因为中间的那个就在那里。
正式学员群-数据分析,【老孟班】5.24数据分析入门试学,Francis,2018/5/24 0:00:00,22:32:18,Mazzy,一语道破！got![强]
正式学员群-数据分析,【老孟班】5.24数据分析入门试学,Francis,2018/5/24 0:00:00,22:32:29,Francis,刚才看错了，你的第二个描述也是对的。那么请问，答案中的第2项，你觉得那里不对啊？
正式学员群-数据分析,【老孟班】5.24数据分析入门试学,Francis,2018/5/24 0:00:00,22:32:48,Pearl,[捂脸]哎这两天工作忙疯了 还有两节没看   心塞ing  准备明天6点起床看完
正式学员群-数据分析,【老孟班】5.24数据分析入门试学,Francis,2018/5/24 0:00:00,22:33:24,Mazzy,形容说：那个数据，我就多思考了以下。
正式学员群-数据分析,【老孟班】5.24数据分析入门试学,Francis,2018/5/24 0:00:00,22:33:27,Francis,@所有人 大家不要忘了完成了在teambition画勾勾哦，否则我会私信你[酷]
正式学员群-数据分析,【老孟班】5.24数据分析入门试学,Francis,2018/5/24 0:00:00,22:33:48,Mazzy,已画
正式学员群-数据分析,【老孟班】5.24数据分析入门试学,Francis,2018/5/24 0:00:00,22:35:00,Francis,因为是翻译的，所以那个没问题的。所以2是对的。
正式学员群-数据分析,【老孟班】5.24数据分析入门试学,Francis,2018/5/24 0:00:00,22:35:56,Francis,咱们再看你选择的2个，一个说是均值、一个说是众数是最佳度量。都叫最佳了，为啥两个都选了[流泪]
正式学员群-数据分析,【老孟班】5.24数据分析入门试学,Francis,2018/5/24 0:00:00,22:36:44,Francis,@Mazzy 上海 其实题里面，3个最佳都不选。因为么，要看情况，才知道那个是最佳度量。
正式学员群-数据分析,【老孟班】5.24数据分析入门试学,Francis,2018/5/24 0:00:00,22:36:48,Mazzy,??两个重意了...
正式学员群-数据分析,【老孟班】5.24数据分析入门试学,Francis,2018/5/24 0:00:00,22:37:42,Mazzy,可以解释一下吗？
正式学员群-数据分析,【老孟班】5.24数据分析入门试学,Francis,2018/5/24 0:00:00,22:38:00,Francis,举个例子。如果是看收入，那么我觉得看中值比较好。因为平均值在有的时候没有意义，比如我的收入和马云大大的平均一下，我是不是就高大上了？显然没有
正式学员群-数据分析,【老孟班】5.24数据分析入门试学,Francis,2018/5/24 0:00:00,22:39:56,Mazzy,[强][强][强]got!
正式学员群-数据分析,【老孟班】5.24数据分析入门试学,Francis,2018/5/24 0:00:00,22:40:38,Francis,但如果饭馆看10个菜，那个卖的最好。显然是看众数。把众数最大的那个菜（比如说宫保鸡丁买了100份），涨2块。再把（卖的差的鱼香肉丝10份）降2块。菜谱上看着差不多，可以收入多了100*2 - 10*2 = 180元！
正式学员群-数据分析,【老孟班】5.24数据分析入门试学,Francis,2018/5/24 0:00:00,22:41:46,Francis,最后如果是年龄这种，显然是平均数更好。比如说根据面相看，我觉得uda的小姐姐们，平均年龄也就18岁，非常适合单身的男青年过去求职 ：）
正式学员群-数据分析,【老孟班】5.24数据分析入门试学,Francis,2018/5/24 0:00:00,22:42:25,Francis,所以答案是这个样子滴！
正式学员群-数据分析,【老孟班】5.24数据分析入门试学,Francis,2018/5/24 0:00:00,22:43:39,Mazzy,好，我之前做排除法，完全不选的是1、4、5
正式学员群-数据分析,【老孟班】5.24数据分析入门试学,Francis,2018/5/24 0:00:00,22:44:05,Mazzy,其它就不理解，或者我理解多想了。
正式学员群-数据分析,【老孟班】5.24数据分析入门试学,Francis,2018/5/24 0:00:00,22:44:37,Francis,统计还是很有意思的，而且很有用[坏笑]
正式学员群-数据分析,【老孟班】5.24数据分析入门试学,Francis,2018/5/24 0:00:00,22:45:55,Francis,@单文慧+郑州 没关系，休息好也很重要，如果有时间可以5分钟浏览下，明天早起看更好理解
正式学员群-数据分析,【老孟班】5.24数据分析入门试学,Francis,2018/5/24 0:00:00,22:49:47,Francis,@胡圣 宁波 @小鲍-上海 @刘畅Sunny+浙江乌镇 @金子君 上海 4位同学，你们teambition还没有画勾勾，遇到了什么困难了么？也可以私信我，咱们今天搞定它[机智]
正式学员群-数据分析,【老孟班】5.24数据分析入门试学,Francis,2018/5/24 0:00:00,22:50:57,Gin.,有个小问题 怎么画勾勾[擦汗][擦汗]
正式学员群-数据分析,【老孟班】5.24数据分析入门试学,Francis,2018/5/24 0:00:00,22:51:16,甲乙,同问
正式学员群-数据分析,【老孟班】5.24数据分析入门试学,Francis,2018/5/24 0:00:00,22:51:55,Francis,@所有人 还有B组的同学都没画勾！你们能不能可怜一下我1000度近视的眼珠子！
正式学员群-数据分析,【老孟班】5.24数据分析入门试学,Francis,2018/5/24 0:00:00,22:51:57,💍＇徐徐徐雯佳,@助教-老孟?助教，我来啦，大概意思我知道了，我是要下python的几个软件么
正式学员群-数据分析,【老孟班】5.24数据分析入门试学,Francis,2018/5/24 0:00:00,22:52:12,💍＇徐徐徐雯佳,点任务前那个小框框
正式学员群-数据分析,【老孟班】5.24数据分析入门试学,Francis,2018/5/24 0:00:00,22:52:13,Gin.,我发现使用app比课难[捂脸]
正式学员群-数据分析,【老孟班】5.24数据分析入门试学,Francis,2018/5/24 0:00:00,22:52:29,Francis,刚才助教崩溃了，，，大家忽略就好，，，重启中，，，，，，，，
正式学员群-数据分析,【老孟班】5.24数据分析入门试学,Francis,2018/5/24 0:00:00,22:52:56,Francis,对，进到里面。点那个框框，就划上了
正式学员群-数据分析,【老孟班】5.24数据分析入门试学,Francis,2018/5/24 0:00:00,22:53:03,Gin.,为啥我点在别人后边了
正式学员群-数据分析,【老孟班】5.24数据分析入门试学,Francis,2018/5/24 0:00:00,22:53:21,💍＇徐徐徐雯佳,你认领了我的任务[捂脸][捂脸]
正式学员群-数据分析,【老孟班】5.24数据分析入门试学,Francis,2018/5/24 0:00:00,22:53:31,💍＇徐徐徐雯佳,可以取消的好像
正式学员群-数据分析,【老孟班】5.24数据分析入门试学,Francis,2018/5/24 0:00:00,22:53:47,💍＇徐徐徐雯佳,就是我下面那样点勾就行了
正式学员群-数据分析,【老孟班】5.24数据分析入门试学,Francis,2018/5/24 0:00:00,22:53:52,Francis,嗯，是这样的，我去改一下。不认领的话谁都可以来的，先到先得。
正式学员群-数据分析,【老孟班】5.24数据分析入门试学,Francis,2018/5/24 0:00:00,22:53:59,Gin.,我这样就ok了吗？
正式学员群-数据分析,【老孟班】5.24数据分析入门试学,Francis,2018/5/24 0:00:00,22:54:33,Francis,点了后，会跑到列表下面。
正式学员群-数据分析,【老孟班】5.24数据分析入门试学,Francis,2018/5/24 0:00:00,22:54:44,Francis,要点一下前面那个空的框框
正式学员群-数据分析,【老孟班】5.24数据分析入门试学,Francis,2018/5/24 0:00:00,22:55:12,Gin.,成功了
正式学员群-数据分析,【老孟班】5.24数据分析入门试学,Francis,2018/5/24 0:00:00,22:55:36,Gin.,老年人不好适应啊 我还要把你的那个取消对吗@徐雯佳 海口
正式学员群-数据分析,【老孟班】5.24数据分析入门试学,Francis,2018/5/24 0:00:00,22:56:47,Francis,我来改吧@金子君 上海
正式学员群-数据分析,【老孟班】5.24数据分析入门试学,Francis,2018/5/24 0:00:00,22:57:04,💍＇徐徐徐雯佳,[捂脸][捂脸]我去认领任务
正式学员群-数据分析,【老孟班】5.24数据分析入门试学,Francis,2018/5/24 0:00:00,22:57:21,Gin.,把我的第二项也改了吧 我多打了个今天勾[捂脸]@助教-老孟
正式学员群-数据分析,【老孟班】5.24数据分析入门试学,Francis,2018/5/24 0:00:00,22:57:23,Gin.,求包涵
正式学员群-数据分析,【老孟班】5.24数据分析入门试学,Francis,2018/5/24 0:00:00,22:57:55,刘畅Sunny,助教如果看完了前四节的视频课程并完成相应练习，算是完成今天的任务1了吗，不太明白有些惶恐
正式学员群-数据分析,【老孟班】5.24数据分析入门试学,Francis,2018/5/24 0:00:00,22:58:11,Francis,ok了，只要没认领都可以自己改的。哈哈。就是对自己的一个督促。
正式学员群-数据分析,【老孟班】5.24数据分析入门试学,Francis,2018/5/24 0:00:00,22:58:50,Francis,完成了，我那个截图比预计多了一个，可以点了，明天按要求多看点就ok了@刘畅Sunny+浙江乌镇
正式学员群-数据分析,【老孟班】5.24数据分析入门试学,Francis,2018/5/24 0:00:00,22:59:10,刘畅Sunny,好的
正式学员群-数据分析,【老孟班】5.24数据分析入门试学,Francis,2018/5/24 0:00:00,23:01:15,Francis,明天大家把剩下的内容看完，并下载项目文件，回答项目文件中的问题1和2就可以了。加油！@所有人 teambition的有问题速速找我。有的同学今天出现的比较少，有问题可以私信我。明天我应该5点以后都在，可以语音辅导。大家加油啊！
正式学员群-数据分析,【老孟班】5.24数据分析入门试学,Francis,2018/5/24 0:00:00,23:04:08,💍＇徐徐徐雯佳,助教，python中包我要下载么现阶段？
正式学员群-数据分析,【老孟班】5.24数据分析入门试学,Francis,2018/5/24 0:00:00,23:05:48,QT Chiu,我点击了好多次任务前的框，完全没反应
正式学员群-数据分析,【老孟班】5.24数据分析入门试学,Francis,2018/5/24 0:00:00,23:05:52,QT Chiu,这是什么情况
